"Topic 0, make sure, need help, pass jobs, fair share, tax breaks, congress pass, pay fair, pay fair share, higher tax, fair shake"
"Topic 1, prime minister, welcome prime, welcome prime minister, september prime, september prime minister, looking forward, bilateral meeting, want welcome prime, want welcome prime minister, forward productive discussion"
"Topic 2, make sure, making sure, health care, sure got, got lot, half years, going able, vision america, health insurance, tax code"
"Topic 3, child left, high standards, teaching learning, raise standards, able focus, high school, make sure, modernize schools, building economy lasts, standards teaching"
"Topic 4, september statement, behalf american people, behalf american, determine destiny, want extend, american people want, day behalf, past years, years won, loved ones"
"Topic 5, statement passing, steve jobs, october statement passing, thoughts prayers wife, prayers wife, michelle saddened, thoughts prayers, october statement, michelle send, learned passing"
"Topic 6, libyan people, people libya, year ago, peace security, international community, men women, universal rights, security council, men women children, women children"
"Topic 7, civil society, open partnership, partnership waldorf astoria hotel, civil society organizations, open partnership waldorf, governments serve, open partnership waldorf astoria, today beginning, today beginning partnership, serve people"
"Topic 8, al qaeda, women uniform, men women uniform, armed forces, men women, service members, national security, enhance national security, enhance national, longer lie"
"Topic 9, young people, high school, comprehensive immigration, make sure, comprehensive immigration reform, immigration reform, social security, making sure, important thing, health insurance"
"Topic 10, american jobs, american jobs act, pass jobs, jobs act, small business, weeks sent, american people, money pockets, democrats republicans, sent american jobs"
"Topic 11, half years, make sure, going good, ordinary folks, private residence, health care, depression able, great depression able, september dnc event private, travel folks"
"Topic 12, security prosperity, hotel want, waldorf astoria hotel want, meeting waldorf astoria hotel, meeting waldorf astoria, astoria hotel want, astoria hotel want welcome, bilateral meeting waldorf, meeting waldorf, hotel want welcome"
"Topic 13, fifty years, laughter think, day people, civil war, people held, african american, millions americans, step forward, abraham lincoln, barack september"
"Topic 14, pass want, construction workers, pass jobs, american jobs act, american jobs, time build economy, build economy, jobs act, time build, small business"
"Topic 15, october statement, entire country, trade agreements, century economy, congress today, american workers, make easier, tens thousands, jobs country, worked hard"
