"Topic 0, make sure, pass jobs, american jobs, jobs act, american jobs act, fair share, need help, making sure, small business, construction workers"
"Topic 1, prime minister, welcome prime, welcome prime minister, september prime, september prime minister, bilateral meeting, want welcome prime, want welcome prime minister, looking forward, want welcome"
"Topic 2, make sure, making sure, prime minister, health care, half years, going able, young people, vision america, lot people, thank everybody"
"Topic 3, child left, high standards, high school, teaching learning, raise standards, prime minister, able focus, modernize schools, standards teaching, standards teaching learning"
"Topic 4, october statement, statement passing, steve jobs, october statement passing, michelle saddened, thoughts prayers wife, prayers wife, thoughts prayers, prime minister, michelle send"
"Topic 5, american jobs act, american jobs, jobs act, pass jobs, construction workers, pass want, small business, tax cuts, win giving, weeks sent"
"Topic 6, civil society, astoria hotel, waldorf astoria hotel, waldorf astoria, open partnership, home work, security prosperity, partnership waldorf astoria hotel, civil society organizations, open partnership waldorf"
"Topic 7, october statement, steve jobs, thoughts prayers wife, michelle saddened, october statement passing, prayers wife, thoughts prayers, open partnership, want thank, entire country"
"Topic 8, civil society, looking forward, opportunity reaffirm, human rights, year ago, people make, universal rights, peace security, international community, democracy commitment"
"Topic 9, fifty years, congress today, laughter think, trade agreements, october statement, entire country, millions americans, think going, century economy, civil war"
"Topic 10, entire country, security prosperity, october statement, young people, fifty years, century economy, congress today, trade agreements, want opportunity, african american"
"Topic 11, young people, african american, high school, social security, comprehensive immigration, african americans, fifty years, people held, civil war, day people"
"Topic 12, october statement, entire country, libyan people, century economy, security prosperity, trade agreements, american people, political parties, social security, want extend"
"Topic 13, trade agreements, september statement, prime minister, october statement, past years, years won, loved ones, entire country, congress today, century economy"
"Topic 14, libyan people, people libya, prime minister, fifty years, laughter think, african american, hard work, political parties, think going, millions americans"
"Topic 15, libyan people, opportunity reaffirm, universal rights, friends neighbors, people world, peace world, reason hope, reflect values, closest allies, hello everybody"
